Depth,TVGR,TVRES,TVDT
4287.3168,59.91653061,1.0119,283.1219354
4287.4692,67.42523193,0.80907,285.4957349
4287.6216,74.56060791,0.76017,289.3307087
4287.774,74.97704315,0.84191,301.1791414
4287.9264,73.29044342,0.91205,302.6864637
4288.0788,75.49436188,0.64567,297.8580787
4288.2312,77.59474945,0.68012,293.7222576
4288.3836,75.19154358,0.79105,295.8325324
4288.536,70.92034912,0.72691,296.9041534
4288.6884,67.98776245,0.77576,295.3946924
4288.8408,61.07435989,0.84006,291.1414042
4288.9932,51.71033859,0.81856,280.6538714
4289.1456,49.32155991,0.60171,270.4323198
4289.298,52.43758011,0.60663,266.7898696
4289.4504,57.21759033,0.73112,266.5632485
4289.6028,62.4165802,0.90255,275.5086019
4289.7552,66.38461304,0.94518,289.4305401
4289.9076,71.05162811,0.77132,295.3963548
4290.06,74.99221802,0.71397,298.3963268
4290.2124,74.8914032,0.72888,299.0209974
4290.3648,74.50346375,0.708,296.3026799
4290.5172,76.22841644,0.66861,292.0871949
4290.6696,77.02127838,0.66766,288.4747401
4290.822,74.93321228,0.68239,286.7327734
4290.9744,72.23545837,0.69738,289.6061373
4291.1268,69.090271,0.71626,290.6017151
4291.2792,62.52310944,0.70924,284.3338434
4291.4316,54.20951843,0.77932,277.3786089
4291.584,46.88253021,0.73293,274.8323491
4291.7364,42.91313934,0.65705,283.811844
4291.8888,44.78339005,0.58962,295.5546214
4292.0412,50.24126816,0.78874,295.7908934
4292.1936,56.5768013,0.89111,290.9552449
4292.346,63.90919113,0.79769,288.8518417
4292.4984,68.29612732,0.69227,294.9936662
4292.6508,65.82993317,0.7656,305.6029447
4292.8032,62.37960052,0.85906,314.5305118
4292.9556,61.44763184,0.85815,321.7290026
4293.108,58.98215103,0.7497,318.6137319
4293.2604,55.02724838,0.71513,307.9408956
4293.4128,51.97254181,0.72148,296.8738672
4293.5652,47.39062881,0.66907,292.0106473
4293.7176,37.9158783,0.77577,290.0625908
4293.87,31.10593987,0.80689,291.1888909
4294.0224,33.86132813,0.68232,296.3791385
4294.1748,40.40357971,0.64932,293.9845801
4294.3272,46.75835037,0.77957,289.634635
4294.4796,50.00926971,0.76452,295.3202149
4294.632,51.26919937,0.82021,303.8226155
4294.7844,56.73379898,0.80666,308.4022494
4294.9368,57.66732025,0.77252,310.4163201
4295.0892,49.46506882,0.92198,310.58279
4295.2416,43.20927811,0.90109,309.6144815
4295.394,40.61421967,0.85296,304.1233596
4295.5464,37.04539108,0.90793,302.1020341
4295.6988,33.45750046,0.81947,301.8941419
4295.8512,32.46073914,0.74179,285.0615701
4296.0036,35.12578964,0.8079,260.91704
4296.156,41.13613129,1.20688,253.9770895
4296.3084,53.03406906,1.04212,266.5193016
4296.4608,66.63152313,0.6608,289.9265607
4296.6132,69.82568359,0.68477,300.3989738
4296.7656,66.84136963,0.88033,299.9081365
4296.918,67.89714813,0.86437,303.6453412
4297.0704,69.64514923,0.79506,307.3985389
4297.2228,67.36882019,0.89439,305.772842
4297.3752,66.00208282,0.97762,305.5876246
4297.5276,64.06652069,0.87442,308.1075854
4297.68,54.44903183,1.01386,311.0243867
4297.8324,44.03044128,1.04986,313.476082
4297.9848,39.9487114,0.98279,311.5258879
4298.1372,38.30044937,0.99306,308.7805118
4298.2896,37.84051132,1.09548,308.8257874
4298.442,41.15573883,1.16079,306.1971279
4298.5944,47.85131836,1.06182,287.6107882
4298.7468,57.74217987,0.80981,262.0672512
4298.8992,67.95459747,0.67687,263.8126701
4299.0516,72.80692291,0.74196,273.0095713
4299.204,72.52461243,0.69695,278.1764032
4299.3564,69.55928802,0.64716,292.4301181
4299.5088,62.75111008,0.77603,308.378937
4299.6612,55.15557098,0.93274,313.8119058
4299.8136,48.40039063,0.82102,315.1555719
4299.966,39.72743988,0.90721,315.2419559
4300.1184,31.79244995,0.97691,311.3646185
4300.2708,29.08956909,1.05487,309.203951
4300.4232,32.30516815,1.05217,307.8424281
4300.5756,42.04299927,0.98197,296.9303926
4300.728,53.42834854,0.93258,286.3330052
4300.8804,61.27061081,0.86187,280.7785433
4301.0328,66.16079712,0.85395,284.0808126
4301.1852,64.76320648,0.97043,290.7351934
4301.3376,59.24361038,0.93126,291.1706217
4301.49,54.61861038,0.93039,292.1843652
4301.6424,52.28247833,0.90805,296.8675354
4301.7948,52.79090118,0.97932,296.1631965
4301.9472,53.62192917,0.92554,293.225026
4302.0996,51.819561,0.96034,293.5177165
4302.252,49.245121,1.03169,291.4734252
4302.4044,51.09976959,1.0659,285.755164
4302.5568,55.68558884,1.06169,285.1245415
4302.7092,57.30704117,0.9732,284.0279709
4302.8616,55.85277939,1.05759,285.0917798
4303.014,51.15200043,0.95381,285.3847874
4303.1664,46.77365112,1.11565,285.4946787
4303.3188,50.35311127,1.25174,276.5085302
4303.4712,59.63169098,0.94509,256.8051181
4303.6236,65.162323,0.79436,246.0876811
4303.776,63.59910965,0.8987,255.7211566
4303.9284,58.9239006,0.88897,276.771604
4304.0808,50.51258087,1.00285,303.7179053
4304.2332,40.82567978,1.18959,318.5117535
4304.3856,34.72526932,1.04508,309.6754379
4304.538,30.4095993,1.15874,301.2256886
4304.6904,29.27611923,1.06543,297.675853
4304.8428,33.18661118,1.08936,296.1217192
4304.9952,40.75598907,1.19785,292.2403396
4305.1476,52.38877869,0.93583,277.5158885
4305.3,64.47666168,0.6883,259.7514102
4305.4524,70.08627319,0.60871,258.3260176
4305.6048,69.19586182,0.62288,270.7435227
4305.7572,65.45910645,0.63277,286.5516322
4305.9096,59.67786026,0.69496,300.0859365
4306.062,53.6843605,0.79414,307.7624672
4306.2144,47.47256088,0.85993,312.4078084
4306.3668,40.59502029,0.83922,313.7382827
4306.5192,37.84212875,0.703,307.8708916
4306.6716,36.64746857,0.74349,294.2410945
4306.824,33.0603714,0.84687,281.2050997
4306.9764,31.54622078,0.92762,276.8393758
4307.1288,33.29603958,0.82447,278.2038242
4307.2812,35.14522934,0.88763,277.8113517
4307.4336,35.64907074,0.8679,273.917979
4307.586,35.92097855,1.13074,273.0701144
4307.7384,39.62134171,1.07627,266.9228654
4307.8908,43.96891022,0.85689,258.3902684
4308.0432,43.37210846,0.84285,265.5337089
4308.1956,43.2979393,0.93274,279.4699
4308.348,45.27157974,0.93912,286.5271993
4308.5004,46.30773926,0.93532,284.7301856
4308.6528,48.871521,0.92877,283.6768373
4308.8052,48.08895874,0.96022,284.1007218
4308.9576,42.4928894,1.13928,284.729752
4309.11,38.92430878,1.04813,287.3678713
4309.2624,36.66555023,0.86554,284.003146
4309.4148,34.10914993,1.18909,280.1503973
4309.5672,34.31666946,1.12977,284.0270514
4309.7196,36.62369156,0.72206,282.2180554
4309.872,36.87131882,0.6435,278.9529305
4310.0244,34.81351852,0.97134,284.6929134
4310.1768,38.284729,1.09146,286.7171916
4310.3292,49.23828888,0.70781,273.444205
4310.4816,56.04951859,0.70411,260.4272695
4310.634,56.44784927,0.77901,258.5179493
4310.7864,58.22573853,0.80233,265.1953053
4310.9388,61.37369919,0.74637,270.2866283
4311.0912,61.21875,0.80435,269.1880621
4311.2436,60.23460007,0.81539,265.9893045
4311.396,60.22877121,0.76829,265.5951444
4311.5484,57.94842911,0.79318,271.188405
4311.7008,53.96662903,0.80077,277.8133351
4311.8532,49.14199829,0.8596,277.823877
4312.0056,46.68725967,0.89862,268.6184916
4312.158,48.39871979,0.8168,259.6590675
4312.3104,50.33993912,1.07178,265.4423867
4312.4628,52.47039032,1.08755,262.9101297
4312.6152,57.31826019,1.04276,252.3523622
4312.7676,64.11469269,0.96523,248.2486877
4312.92,67.74160767,0.89952,247.5784739
4313.0724,66.40101624,0.93089,254.675565
4313.2248,67.14212036,0.82669,266.2301926
4313.3772,70.30921936,0.81657,272.8869334
4313.5296,69.84765625,0.77708,276.5929106
4313.682,67.91149139,0.79422,280.988257
4313.8344,69.05738068,0.72843,283.090813
4313.9868,69.7170105,0.74819,288.3211942
4314.1392,63.22901154,0.81383,288.6318898
4314.2916,52.26100159,0.81326,284.3877054
4314.444,44.13600922,0.71491,287.7565199
4314.5964,40.08985138,0.59664,295.4713124
4314.7488,38.95618057,0.5998,300.6113648
4314.9012,41.12540817,0.58517,296.8894142
4315.0536,46.24348068,0.87495,276.1251881
4315.206,53.15517044,1.02441,254.2872957
4315.3584,59.00798035,0.9968,248.6712598
4315.5108,60.792099,0.94941,253.1785313
4315.6632,62.48069,0.85847,263.7601661
4315.8156,66.13516998,0.79036,274.2489632
4315.968,67.36519623,0.82309,281.4551998
4316.1204,65.51207733,0.79121,285.817438
4316.2728,62.75482941,0.83112,282.484805
4316.4252,61.13407135,0.92888,274.4281888
4316.5776,58.46728897,1.00523,266.3507218
4316.73,53.73672104,0.9537,259.5347769
4316.8824,47.43355179,0.93503,260.1199248
4317.0348,41.2273407,0.96525,278.8781051
4317.1872,40.19858932,0.73378,286.5884191
4317.3396,42.55010986,0.61697,277.7137463
4317.492,46.65372849,0.86964,269.3947746
4317.6444,53.67771149,0.94752,270.1317265
4317.7968,62.69715118,0.78814,276.5915593
4317.9492,68.3915863,0.79092,287.2942913
4318.1016,66.87605286,0.74128,294.7477034
4318.254,63.46834946,0.74772,291.3283257
4318.4064,61.43227005,0.80253,290.7058426
4318.5588,61.34141922,0.89793,297.0582731
4318.7112,62.99684906,0.82226,303.7123962
4318.8636,63.73043823,0.72807,308.9819321
4319.016,59.95938873,0.66845,306.5511423
4319.1684,50.73564911,0.8094,301.7033133
4319.3208,41.16268158,0.89276,303.8385827
4319.4732,37.440979,0.84498,311.5293771
4319.6256,38.79288101,0.72184,310.2922388
4319.778,37.96035004,0.80566,297.1618255
4319.9304,34.64891815,0.97226,282.238843
4320.0828,34.51242065,0.97197,279.4872069
